location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
BSP,FRNT,TBO,WET,NIGHT,SINGLE,NO,RAIN,RES,EMP
RAD,MIR,HON,DRY,DAY,MULTI,LIGHT,FINE,RES,CARS TRUCKS
BSP,MIR,SSW,DRY,DUSK,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,REAR,N2T,WET,DAY,SINGLE,HEAVY,RAIN,NRES,EMP
RAD,NSR,TAI,DRY,DAY,MULTI,MODERATE,FINE,RES,CARS TRUCKS
BSP,OSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,UN3PAR,CARS TRUCKS
XRD,NSR,SSW,DRY,DAY,MULTI,MODERATE,FINE,NRES,EMP
RAD,FRNT,TBO,DRY,DAY,MULTI,MODERATE,FINE,NRES,EMP
BSP,OSF,SSW,DRY,NIGHT,MULTI,MODERATE,FINE,NRES,ROA
RAD,NSR,REVERSING,WET,DAY,SINGLE,LIGHT,RAIN,NRES,ROA
BSP,NSM,SSW,DRY,DAY,MULTI,MODERATE,FINE,RES,EMP
RAD,OSM,SSW,DRY,DAY,MULTI,MODERATE,FINE,RES,EMP
BSP,MIR,SSW,DRY,DAY,BUS,MODERATE,FINE,NRES,ROA
RAD,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
BSP,OSR,N2T,DRY,DAY,MULTI,HEAVY,FINE,NRES,ROA
RAD,FRNT,HON,DRY,DAY,MULTI,LIGHT,FINE,UN3PAR,CARS TRUCKS
RAD,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,PEND,EMP
RAD,OSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,PEND,EMP
BSP,NSR,REVERSING,DRY,DAY,SINGLE,NO,FINE,NRES,ROA
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,NO,FINE,RES,EMP
BSP,NSF,SSW,DRY,DAY,MULTI,LIGHT,FINE,RES,EMP
BSP,OSR,TAI,DRY,DAY,BUS,MODERATE,FINE,RES,EMP
RAD,NSR,N2T,DRY,DAY,MULTI,LIGHT,FINE,NRES,OTH
BSP,NSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,RES,CARS TRUCKS
RAD,NSM,BTMO,SLIP,DAY,SINGLE,NO,FOG,RES,EMP
RAD,OSR,SSW,WET,DAY,MULTI,LIGHT,RAIN,NRES,ROA
RAD,MIR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,NRES,EMP
BSP,NSM,SSW,DRY,DAY,BUS,LIGHT,FINE,NRES,BUS - OTHER
RAD,NSR,SSW,DRY,NIGHT,SINGLE,LIGHT,FINE,RES,EMP
RAD,OSR,SSW,DRY,DAY,MULTI,MODERATE,FINE,RES,CARS TRUCKS
BSP,NSF,SSW,DRY,DAWN,SINGLE,LIGHT,FINE,NRES,ROA
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,PEND,EMP
RAD,FRNT,N2T,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,ROA
RAD,OSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,UN3PAR,CARS TRUCKS
RAD,NSM,SSW,DRY,DUSK,MULTI,MODERATE,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
RAD,OSM,SSW,WET,DAY,SINGLE,NO,FINE,RES,EMP
RAD,FRNT,N2T,WET,DUSK,MULTI,LIGHT,RAIN,RES,CARS TRUCKS
TIN,FRNT,SSW,DRY,DAY,MULTI,LIGHT,FINE,NRES,ROA
RAD,NSF,SSW,DRY,DAY,MULTI,MODERATE,FINE,INCIDENT,CYC
BSP,REAR,SSW,WET,DAY,SINGLE,NO,RAIN,RES,EMP
DEPOT,WIN,SSW,DRY,DAY,SINGLE,LIGHT,FINE,INCIDENT,POW
RAD,NSR,SSW,DRY,DAY,SINGLE,MODERATE,FINE,RES,BUS - OTHER
RAD,REAR,TAI,DRY,NIGHT,SINGLE,HEAVY,FINE,RES,EMP
BSP,NSF,SSW,DRY,DAY,MULTI,MODERATE,FINE,UN3PAR,ROA
RAD,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,PEND,EMP
BSP,NSF,SSW,DRY,NIGHT,MULTI,LIGHT,FINE,INCIDENT,PAS
BSP,FRNT,N2T,DRY,DAY,BUS,NO,FINE,RES,EMP
XRD,OSR,SSW,DRY,DUSK,MULTI,HEAVY,FINE,NRES,ROA
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
TIN,OSR,TAI,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSM,SSW,DRY,DAY,MULTI,LIGHT,FINE,RES,EMP
RAD,NSR,SSW,WET,DUSK,MULTI,MODERATE,RAIN,NRES,ROA
BSP,NSM,SSW,DRY,STREET,MULTI,LIGHT,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,MULTI,LIGHT,FINE,RES,EMP
RAD,NSF,N2T,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
BSP,NSR,TAI,DRY,DAY,SINGLE,MODERATE,FINE,RES,EMP
BSP,OSR,HON,DRY,DAY,BUS,NO,FINE,NRES,CARS TRUCKS
RAD,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
TIN,WSRE,SSW,DRY,DAY,MULTI,HEAVY,FINE,RES,EMP
RAD,OSM,SSW,DRY,DAWN,SINGLE,LIGHT,FINE,RES,EMP
BSP,NSR,SSW,DRY,DAWN,SINGLE,NO,FINE,RES,EMP
BSP,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,ROA
RAD,NSR,HON,DRY,DAY,SINGLE,LIGHT,FINE,RES,BUS - OTHER
BSP,NSF,HON,DRY,DAY,SINGLE,LIGHT,FINE,RES,BUS - OTHER
BSP,FRNT,HON,DRY,DAY,MULTI,LIGHT,FINE,INCIDENT,ENV
BSP,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
