location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
RAD,WSRE,BTMO,WET,DAY,SINGLE,NO,FINE,4,EMP
RAD,REAR,BTMO,WET,DAY,SINGLE,NO,RAIN,4,CARS TRUCKS
RAD,FRNT,HON,WET,DAY,SINGLE,NO,FINE,0,EMP
BSP,REAR,N2T,DRY,DAY,MULTI,LIGHT,FINE,1,CARS TRUCKS
RAD,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,3,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,5,CARS TRUCKS
BSP,NSR,REVERSING,DRY,DAY,SINGLE,LIGHT,FINE,5,EMP
XRD,REAR,N2T,DRY,DAY,MULTI,MODERATE,SUN,1,EMP
BSP,FRNT,REVERSING,WET,DAWN,BUS,NO,RAIN,1,EMP
RAD,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RBT,WSRE,SSW,DRY,DAY,SINGLE,LIGHT,FINE,0,ROAD RAGE
RAD,WSRE,BTMO,DRY,DAY,MULTI,MODERATE,FINE,0,OTH
BSP,NSF,HON,DRY,DAY,SINGLE,NO,FINE,4,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,3,EMP
BSP,NSM,SSW,DRY,NIGHT,SINGLE,LIGHT,FINE,4,EMP
BSP,REAR,HON,DRY,DAY,SINGLE,MODERATE,FINE,1,BUS - OTHER
RAD,NSR,TAI,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,NSM,N2T,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
BSP,FRNT,TBO,WET,NIGHT,SINGLE,NO,RAIN,4,EMP
RAD,MIR,HON,DRY,DAY,MULTI,LIGHT,FINE,4,CARS TRUCKS
BSP,MIR,SSW,DRY,DUSK,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,REAR,N2T,WET,DAY,SINGLE,HEAVY,RAIN,1,EMP
RAD,NSR,TAI,DRY,DAY,MULTI,MODERATE,FINE,4,CARS TRUCKS
BSP,OSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,5,CARS TRUCKS
XRD,NSR,SSW,DRY,DAY,MULTI,MODERATE,FINE,1,EMP
RAD,FRNT,TBO,DRY,DAY,MULTI,MODERATE,FINE,1,EMP
BSP,OSF,SSW,DRY,NIGHT,MULTI,MODERATE,FINE,1,ROA
RAD,NSR,REVERSING,WET,DAY,SINGLE,LIGHT,RAIN,1,ROA
BSP,NSM,SSW,DRY,DAY,MULTI,MODERATE,FINE,4,EMP
RAD,OSM,SSW,DRY,DAY,MULTI,MODERATE,FINE,4,EMP
